id,type,voltage_level1_id,connected1,voltage_level2_id,connected2,p1,q1,i1,x1,y1,x2,y2,Normal MVA Limit,Time,,
L1-2-1,LINE,VL1,True,VL2,True,-12.3561943,-13.04010147,78.69908985065905,4,73,140,73,250,0:00,,
L1-3-1,LINE,VL1,True,VL3,True,-38.6438057,-17.06400908,185.0623728594896,4,73,18,201,250,0:00,,
L4-5-1,LINE,VL4,True,VL5,True,-103.275914,-26.78218139,447.2619174419041,91,293,18,484,250,0:00,,
L3-5-1,LINE,VL3,True,VL5,True,-68.10267388,-14.49128372,301.02542908997526,18,201,18,484,250,0:00,,
L5-6-1,LINE,VL5,True,VL6,True,88.45517257172281,4.109168537703373,369.73497953530864,18,484,276,484,250,0:00,,
L6-7-1,LINE,VL6,True,VL7,True,35.52500426108028,-4.768173852,151.47338586642553,276,484,390,484,250,0:00,,
L8-9-1,LINE,VL8,True,VL9,True,-440.5634256,-89.75872801,741.3001265169758,103,846,131,1002,250,0:00,,
L9-10-1,LINE,VL9,True,VL10,True,-445.1816045,-24.43541597,715.4169522921442,131,1002,133,1130,250,0:00,,
L4-11-1,LINE,VL4,True,VL11,True,64.20128631,-0.211332343,269.1384998231293,91,293,245,290,250,0:00,,
L5-11-1,LINE,VL5,True,VL11,True,77.20093806623308,2.970885186735732,322.5842130754779,18,484,245,290,250,0:00,,
L11-12-1,LINE,VL11,True,VL12,True,34.29564718622179,-35.13389298,208.51902204363864,245,290,432,230,250,0:00,,
L2-12-1,LINE,VL2,True,VL12,True,-32.45382056,-20.00532945,164.19786931890314,140,73,432,230,250,0:00,,
L3-12-1,LINE,VL3,True,VL12,True,-9.791193813,-12.39462163,68.28940271444587,18,201,432,230,250,0:00,,
L7-12-1,LINE,VL7,True,VL12,True,16.464953341811825,-6.501610882,74.85929498506684,390,484,432,230,250,0:00,,
L11-13-1,LINE,VL11,True,VL13,True,35.03349714943447,11.421677900035172,156.49582070432865,245,290,603,458,250,0:00,,
L12-14-1,LINE,VL12,True,VL14,True,18.251796875435783,2.6403348125017363,77.93419628137471,432,230,718,354,250,0:00,,
L13-15-1,LINE,VL13,True,VL15,True,0.7172139865258054,-3.827721246,16.826048804104268,603,458,777,454,250,0:00,,
L14-15-1,LINE,VL14,True,VL15,True,4.175986207298725,3.159418780427857,22.273344225810003,718,354,777,454,250,0:00,,
L12-16-1,LINE,VL12,True,VL16,True,7.473993508670869,4.295119311131854,36.42878743098376,432,230,500,670,250,0:00,,
