id,v_mag,v_angle,voltage_level_id,x,y,time
VL1_0,131.79,-19.09251689,VL1,4,73,0:00
VL2_0,134.0522002329547,-18.55248018,VL2,140,73,0:00
VL3_0,133.54148989038023,-18.20916466,VL3,18,201,0:00
VL4_0,137.724,-14.49202176,VL4,91,293,0:00
VL5_0,138.27388863250275,-14.04671208,VL5,18,484,0:00
VL6_0,136.62,-16.77352393,VL6,276,484,0:00
VL7_0,136.52724366867054,-17.21786731,VL7,390,484,0:00
VL8_0,350.17499999999995,-9.025317471,VL8,103,846,0:00
VL9_0,359.8078100603008,-1.772458001,VL9,131,1002,0:00
VL10_0,362.25,5.807179502499308,VL10,133,1130,0:00
VL11_0,135.94230660002444,-17.05908957,VL11,245,290,0:00
VL12_0,136.62,-17.57597922,VL12,432,230,0:00
VL13_0,133.62587036165888,-18.43269027,VL13,603,458,0:00
VL14_0,135.73564403440238,-18.29061025,VL14,718,354,0:00
VL15_0,133.86,-18.5799764,VL15,777,454,0:00
VL16_0,135.77974945950362,-17.87599175,VL16,500,670,0:00
VL17_0,137.32838064168462,-16.06486494,VL17,646,720,0:00
VL18_0,134.274,-18.27749316,VL18,868,720,0:00
VL19_0,132.95265921961362,-18.76109274,VL19,974,615,0:00
VL20_0,132.2119588556907,-17.88099225,VL20,990,1035,0:00
VL21_0,132.28975520061633,-16.29286294,VL21,980,1059,0:00
VL22_0,133.81121987255193,-13.73813187,VL22,1062,1202,0:00
VL23_0,137.95230440278812,-8.817021074,VL23,1017,1261,0:00
VL24_0,136.896,-8.943765337,VL24,1336,1174,0:00
VL25_0,144.9,-1.887651719,VL25,731,1390,0:00
VL26_0,350.17499999999995,-0.107153906,VL26,702,1298,0:00
VL27_0,133.584,-14.46203758,VL27,247,1233,0:00
VL28_0,132.6964067854002,-16.18675321,VL28,261,1104,0:00
VL29_0,132.92382491563478,-17.17925521,VL29,261,975,0:00
VL30_0,340.0036876593693,-11.02847019,VL30,703,846,0:00
VL31_0,133.446,-17.0624383,VL31,457,1045,0:00
