,name,bus,p_mw,vm_pu,sn_mva,min_q_mvar,max_q_mvar,scaling,slack,in_service,slack_weight,type,controllable,max_p_mw,min_p_mw,id_q_capability_characteristic,reactive_capability_curve,curve_style,control
0,65_Nuclear,65,938.3119120797243,1.0,,,,1.0,False,True,0.0,Nuclear,True,1000.0,0.0,,False,,PV
1,66_Nuclear,66,0.0,1.0,,,,1.0,False,True,0.0,Nuclear,True,1000.0,0.0,,False,,
2,49_Baseload,49,10.661109558846357,1.0,,,,1.0,False,True,0.0,Baseload,True,250.0,0.0,,False,,
3,61_Hydro_Storage,61,100.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
4,59_Hydro_Storage,59,100.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
5,54_Hydro_Storage,54,17.518860016764478,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
6,46_Hydro_Storage,46,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
7,42_Hydro_Storage,42,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
8,62_Hydro_Storage,62,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
9,34_Other,34,3.517897612616808,1.0,,,,1.0,False,True,0.0,Other,True,50.0,0.0,,False,,
10,36_Other,36,0.0,1.0,,,,1.0,False,True,0.0,Other,True,50.0,0.0,,False,,
11,10_Nuclear,10,938.3119120797243,1.0,,,,1.0,False,True,0.0,Nuclear,True,1000.0,0.0,,False,,
12,26_Peak,26,60.90528080469404,1.0,,,,1.0,False,True,0.0,Peak,True,500.0,0.0,,False,,
13,25_Hydro_Storage,25,100.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
14,12_Hydro_Storage,12,100.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
15,113_Hydro_Storage,113,17.518860016764478,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
16,31_Hydro_Storage,31,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
17,32_Hydro_Storage,32,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
18,15_Hydro_Storage,15,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
19,6_Hydro_Storage,6,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
20,19_Other,19,3.517897612616808,1.0,,,,1.0,False,True,0.0,Other,True,50.0,0.0,,False,,
21,69_Nuclear,69,938.3119120797243,1.0,,,,1.0,False,True,0.0,Nuclear,True,1000.0,0.0,,False,,
22,80_Peak,80,60.90528080469404,1.0,,,,1.0,False,True,0.0,Peak,True,500.0,0.0,,False,,
23,100_Hydro_Storage,100,100.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
24,103_Hydro_Storage,103,100.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
25,111_Hydro_Storage,111,17.518860016764478,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
26,74_Hydro_Storage,74,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
27,112_Hydro_Storage,112,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
28,76_Hydro_Storage,76,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
29,110_Hydro_Storage,110,0.0,1.0,,,,1.0,False,True,0.0,Hydro_Storage,True,100.0,0.0,,False,,
30,104_Other,104,3.517897612616808,1.0,,,,1.0,False,True,0.0,Other,True,50.0,0.0,,False,,
