id,x,y
1,4,73
2,140,73
3,18,201
4,91,293
5,18,484
6,276,484
7,390,484
8,103,846
9,131,1002
10,133,1130
11,245,290
12,432,230
13,603,458
14,718,354
15,777,454
16,500,670
17,646,720
18,868,720
19,974,615
20,990,1035
21,980,1059
22,1062,1202
23,1017,1261
24,1336,1174
25,731,1390
26,702,1298
27,247,1233
28,261,1104
29,261,975
30,703,846
31,457,1045
32,474,1055
33,1430,263
34,1529,449
35,1375,687
36,1598,616
37,1634,381
38,1699,1006
39,1668,282
40,1638,123
41,1842,123
42,1935,123
43,1825,461
44,1866,371
45,1900,590
46,1897,713
47,1981,739
48,2028,551
49,2063,721
50,2316,446
51,2374,407
52,2057,251
53,2063,123
54,2179,123
55,2475,123
56,2307,123
57,2316,328
58,2375,309
59,2632,295
60,2632,530
61,2632,700
62,2481,1075
63,2560,295
64,2537,623
65,2307,1228
66,2272,1075
67,2373,997
68,2144,1250
69,2051,1235
70,1601,1175
71,1549,1306
72,1469,1252
73,1487,1362
74,1555,1490
75,1605,1549
76,1892,1453
77,1904,1546
78,2055,1393
79,2080,1332
80,2101,1453
81,2148,1391
82,1870,1668
83,1612,1737
84,1577,1788
85,1550,1906
86,1589,1978
87,1658,2054
88,1694,1904
89,1787,1904
90,1816,2024
91,2038,2026
92,2054,1904
93,2125,1835
94,2194,1737
95,2100,1737
96,2090,1666
97,2105,1570
98,2253,1524
99,2358,1453
100,2300,1737
101,2289,1976
102,2136,1977
103,2393,1976
104,2474,1737
105,2567,1737
106,2428,1587
107,2697,1737
108,2637,1880
109,2637,1964
110,2555,2048
111,2508,2183
112,2695,2050
113,589,851
114,488,1158
115,618,1158
116,2216,1219
117,717,230
118,1763,1453
